name,pic,Match 1,Match 2,Match 3,Match 4,Match 5,Match 6,Match 7,Match 8,Match 9,Match 10,Match 11,Match 12,Match 13,Match 14,Match 15,Match 16,Match 17,Match 18,Match 19,Match 20,Match 21,Match 22,Match 23,Match 24,Match 25,Match 26,Match 27,Match 28,Match 29,Match 30,Match 31,Match 32,Match 33,Match 34,Match 35,Match 36
Burnley,pic.jpg,0,3,3,4,4,7,7,7,10,11,14,14,14,14,17,17,17,20,23,23,26,26,29,29,30,31,31,31,32,32,35,36,36,36,39,40,40,40
Crystal Palace,pic.jpg,0,0,1,4,7,10,11,11,11,11,11,11,11,14,15,15,15,16,16,16,16,16,19,19,19,22,25,28,31,31,34,35,38,38,38,38,41,41
Everton,pic.jpg,1,4,7,10,13,13,14,15,15,18,18,19,19,20,20,23,23,26,27,30,33,36,37,40,41,44,44,47,50,50,51,54,57,58,58,58,61,61
Hull,pic.jpg,3,6,6,7,7,7,7,7,7,7,10,10,11,11,12,12,12,12,13,13,16,16,17,20,20,21,21,24,24,27,30,30,30,33,34,34,34,34
Man City,pic.jpg,3,6,9,12,15,18,18,19,20,23,24,27,30,30,30,33,36,39,39,42,42,43,46,49,52,55,56,57,58,58,61,64,65,66,69,72,75,78
Middlesbrough,pic.jpg,1,4,5,5,5,5,6,6,7,10,11,11,12,15,15,15,18,18,18,19,20,20,21,21,22,22,22,22,23,23,24,24,24,27,28,28,28,28
Southampton,pic.jpg,1,1,2,2,5,8,9,12,13,13,13,14,17,17,20,21,24,24,24,24,24,27,27,27,30,33,33,34,37,40,40,40,41,42,42,45,46,46
Arsenal,pic.jpg,0,1,4,7,10,13,16,19,20,23,24,25,28,31,34,34,34,37,40,41,44,47,47,47,50,50,50,51,54,54,57,60,60,63,66,69,72,75
Bournemouth,pic.jpg,0,0,1,4,4,7,8,11,12,12,12,15,15,18,18,21,21,21,24,25,25,26,26,26,26,26,27,30,33,34,35,35,35,38,41,42,45,46
Chelsea,pic.jpg,3,6,9,10,10,10,13,16,19,22,25,28,31,34,37,40,43,46,49,49,52,55,56,59,60,63,66,69,69,72,75,75,78,81,84,87,90,93
Man United,pic.jpg,3,6,9,9,9,12,13,14,14,15,18,19,20,21,24,27,30,33,36,39,40,41,42,45,48,49,52,53,54,57,60,63,64,65,65,65,66,69
Leicester,pic.jpg,0,1,4,4,7,7,8,8,11,12,12,12,13,13,16,16,17,17,20,21,21,21,21,21,21,24,27,30,33,36,36,37,37,40,43,43,43,44
Stoke,pic.jpg,1,1,1,1,1,2,3,6,9,12,13,13,16,19,19,20,21,21,21,24,27,28,29,29,32,32,35,36,36,36,36,36,39,39,40,41,41,44
Swansea,pic.jpg,3,3,3,4,4,4,4,4,5,5,5,6,9,9,12,12,12,12,12,15,15,18,21,21,24,24,27,27,27,28,28,28,28,31,32,35,38,41
Tottenham,pic.jpg,1,4,5,8,11,14,17,18,19,20,21,24,24,27,27,30,33,36,39,42,45,46,47,50,50,53,56,59,62,65,68,71,74,77,77,80,83,86
Watford,pic.jpg,1,1,1,4,7,7,8,11,12,15,15,18,18,18,21,21,21,22,22,22,23,24,27,30,30,31,31,31,34,37,37,40,40,40,40,40,40,40
West Brom,pic.jpg,3,3,4,4,7,8,9,10,10,10,13,16,17,20,20,23,23,23,26,29,29,32,33,36,37,40,40,40,43,44,44,44,44,44,45,45,45,45
Sunderland,pic.jpg,0,0,1,1,1,1,2,2,2,2,5,8,8,11,11,11,14,14,14,15,15,15,16,19,19,19,19,20,20,20,20,21,21,21,24,24,24,24
West Ham,pic.jpg,0,3,3,3,3,3,4,7,10,10,11,11,12,12,13,16,19,22,22,22,25,28,28,31,32,33,33,33,33,33,33,36,37,38,39,42,42,45
Liverpool,pic.jpg,3,3,4,7,10,13,16,17,20,23,26,27,30,30,31,34,37,40,43,44,45,45,46,46,49,49,52,55,56,59,60,63,66,66,69,70,73,76
